# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Espa�ol
dialog_directsound			DirectSound
dialog_softwaresound			Sonido por Software
dialog_mixfrequency			Mezcla
dialog_11khz			11 Khz Calidad Baja
dialog_22khz			22 Khz Calidad Media
dialog_44khz			44 Khz Calidad Alta
dialog_numchannels			N� Canales
dialog_8channels			8 Canales
dialog_16channels			16 Canales
dialog_32channels			32 Canales
dialog_64channels			64 Canales
dialog_soundbuffersize			Tamaño del búfer de sonido
dialog_512samples			512 muestras
dialog_1024samples			1024 muestras
dialog_2048samples			2048 muestras
dialog_4096samples			4096 muestras
dialog_8192samples			8192 muestras
dialog_memoryusage			Uso de Memoria
dialog_swapstereo			Intercambiar en Est�reo
dialog_hw3dsound			Sonido Hardware3d
dialog_realtimeeffects			Efectos en Tiempo Real
dialog_mastervolume			Volumen General
dialog_cpuusage			Uso de CPU
dialog_cpuusageunknown			Uso de CPU desconocido

dialog_screenoptions			Pantalla
dialog_refreshrate			Frecuencia
dialog_windowed			Modo Ventana
dialog_windowedmode			(modo ventana)
dialog_fullscreen			Pantalla Completa
dialog_resolution			Resoluci�n
dialog_colourdepth			Color
dialog_colourdepth_16			16 bits
dialog_colourdepth_24			24 bits
dialog_colourdepth_32			32 bits
dialog_colourdepth_X			*C bits
# C = Color Depth
dialog_zbufferdepth			Z Buffer
dialog_refreshrate_X			*R Hz
# R = Refresh Rate
dialog_resolution_W_H			*W x *H
# W = Screen Width, H = Screen Height
dialog_antialias                    Utilizar Suavizado

dialog_networkoptions			Red
dialog_networkclientport			Puerto del Cliente
dialog_networkserverport			Puerto del Servidor
dialog_networkmetaserverport			Puerto del MetaServidor
dialog_networkuseportforwarding			Redireccionamiento de Puertos
dialog_networktracksync			Seguir Errores de Sincronizaci�n
dialog_networktracksynctooltip			Habilita esta opci�n para que con cada cuadro se almacene abundante informaci�n que servir� de ayuda para el seguimiento de los Errores de Sincronizaci�n.\nAfectar� al rendimiento de forma significativa.
dialog_networkportforwardtooltip			Habilita esta opci�n si est�s teniendo problemas al alojar o conectarte a partidas.\nTienes que habilitar de forma manual el redireccionamiento de puertos para los datos UDP entrantes en los puertos anteriores de tu NAT.
dialog_networkfailed			Error
dialog_networkfailedgamerunning			No puedes modificar la configuraci�n de red\nmientras est� teniendo lugar una partida.
dialog_networksuccess			Operaci�n Realizada Con �xito
dialog_networksuccessfull			La configuraci�n de red\nha sido actualizada.
dialog_networkporttooltip			N�mero de puerto que se utilizar� para la comunicaci�n. Los n�meros de puerto v�lidos han de ser mayores de 1024 y menores de 65535.\nConfig�ralo como puerto 0 para permitir que el sistema escoja por ti un puerto libre.
dialog_troubleshooting			�Tienes problemas? Pulsa aqu�...
dialog_troubleshooting_tooltip			Pulsa aqu� para visitar nuestro sitio web dedicado a la resoluci�n de problemas en el que te ayudaremos a diagnosticar cualquier complicaci�n relacionada con la red.
dialog_no_change_while_in_game_1			No puedes modificar la configuraci�n de red
dialog_no_change_while_in_game_2			mientras haya una partida en progreso

dialog_authoptions			Autenticaci�n
dialog_paste			Pegar
dialog_paste_tooltip			Pegar clave del portapapeles
dialog_auth_failed			ERROR en la Autenticaci�n
dialog_bad_key_title			ERROR EN LA AUTENTICACI�N
dialog_authkey_not_found			no se ha encontrado la clave de autenticaci�n
dialog_meta_server_details			\n\nPor favor, visita esta url para activar tu clave:\nMETASERVER.INTROVERSION.CO.UK
dialog_not_permitted_start_game			No puedes iniciar una nueva partida\nporque no ha sido posible autenticar tu clave.\n\n\nCLAVE  : *K\nERROR: *E\n*M
# K = Auth Key, E = Error Message, M = Message
dialog_not_permitted_join_game			No puedes unirte a una partida\nporque no ha sido posible autenticar tu clave.\n\nCLAVE : *K\nERROR: *E\n
# K = Auth Key, E = Error Message
dialog_auth_error			Error de Autenticaci�n\n*E\n\nClave: *K\n
# K = Auth Key, E = Error Message
dialog_type_authkey_or_demo_1			Por favor escribe tu Clave de Autenticaci�n
dialog_type_authkey_or_demo_2			o pulsa en Jugar a la Demo
dialog_auth_status			ESTADO DE AUTENTICACI�N
dialog_auth_status_unknown			DESCONOCIDO
dialog_auth_status_checking			COMPROBANDO...
dialog_auth_status_demo_user			USUARIO DEMO
dialog_may_play_as_demo_user			Puedes jugar como un USUARIO DEMO si as� lo deseas.
dialog_cannot_use_mac_key_on_pc     No puedes utilizar una clave para Mac en la versi�n para PC.
dialog_cannot_use_pc_key_on_mac     No puedes utilizar una clave para PC en la versi�n para Mac.

dialog_auth_wrong_platform          Plataforma incorrecta
dialog_auth_key_dead                Clave no utilizable
dialog_auth_version_not_found			Versi�n no encontrada
dialog_auth_key_inactive			Clave inactiva
dialog_auth_version_revoked			Versi�n suspendida
dialog_auth_key_not_found			Clave no encontrada
dialog_auth_key_revoked			Clave suspendida
dialog_auth_key_banned			Clave prohibida
dialog_auth_key_invalid			Clave no v�lida
dialog_auth_unknown			Desconocido
dialog_auth_accepted			Aceptado

dialog_controloptions			Otros
dialog_sidescrolling			Desplazar Rat�n
dialog_zoomspeed                    Velocidad de Zoom
dialog_camdragging			Arrastrar C�mara
dialog_tooltips			Informaci�n Herramientas
dialog_popupscale			Escala
dialog_panickey			Tecla de P�nico
dialog_language			Idioma 
dialog_restart_required_language			Por favor, reinicia Defcon para que la configuraci�n\ndel idioma tenga efecto.
dialog_keyboardlayout               Distribuci�n del Teclado

dialog_zoomnormal                   Normal
dialog_zoomslow                     Lento

dialog_lobby			INICIO
dialog_lobby_team_options			Opciones de Equipo
dialog_lobby_advanced_options			Opciones Avanzadas
dialog_rename			Cambiar Nombre
dialog_territories			Territorios
dialog_alliance			Alianza
dialog_requestai			A�adir Jugador No Humano
dialog_chat			Chat
dialog_ready			Preparado
dialog_gamestart			Inicio en *X segundos
# X = Countdown in secondes before the game start
dialog_gamestart_whenready			Todos los jugadores: pulsad 'PREPARADO' para comenzar
dialog_gamestart_youready			Pulsa 'PREPARADO' para comenzar
dialog_kick			Expulsar
dialog_spectate			Observar
dialog_join_alliance			Unirse a *A
# A = Alliance Name
dialog_closed			cerrado
dialog_demo_user			USUARIO DEMO
dialog_number_players_max			M�ximo de *N jugadores
# N = Number Players Max
dialog_click_to_open			pulsar para abrir
dialog_click_to_close			pulsar para cerrar
dialog_awaiting_player			otro jugador...
dialog_cpu_team_name			[CPU] *T
# T = Team Name
dialog_joining			[Uni�ndose...]
dialog_demo_team_name			[DEMO] *T
# T = Team Name
dialog_demo_too_many_players			No puedes tener todos estos jugadores en tu partida\nporque est�s utilizando la versi�n DEMO.\n\nSi deseas sumergirte en la locura multijugador para seis participantes primero tendr�s que comprar el juego completo.\n\nTama�o M�ximo de Partida Demo = *N Jugadores
# N = Max Demo Game Size
dialog_edited			editado
dialog_locked			bloqueado
dialog_click_select_territory			SELECCIONA TU TERRITORIO (*T/*M)
# T = Number of Territories, M = Maximum number of Territories
dialog_random_territories			TERRITORIOS ALEATORIOS
dialog_option_locked_demo_1			Esta opci�n est� BLOQUEADA
dialog_option_locked_demo_2			(Jugador DEMO).
dialog_option_locked_game_mode_1			Esta opci�n se encuentra BLOQUEADA
dialog_option_locked_game_mode_2			debido al modo de juego actual.
dialog_spectators_number			ESPECTADORES (*N M�X)
# N = Maximum number of Spectators
dialog_awaiting_spectators			esperando espectadores...
dialog_internet_identity			ID en Internet:
dialog_internet_identity_details			*I : *P
# I = Ip Address, P = port
dialog_lan_identity			ID en Red Local:
dialog_server_identity			ID en el Servidor:
dialog_lobby_defcon			DEFCOn
dialog_created_by_introversion      CREADO  POR  INTROVERSION  SOFTWARE
dialog_lobby_version			VERSI�N:
dialog_lobby_have_latest_version			Tienes la versi�n m�s reciente.
dialog_lobby_newer_version			Est� disponible una versi�n m�s reciente : *V
# V = Newer Version
dialog_lobby_click_to_download			Pulsa aqu� para descargarla
dialog_lobby_demo_limitations			LIMITACIONES DE LA VERSI�N DEMO
dialog_lobby_max_demo_game_size			Tama�o M�ximo de Partida Demo
dialog_lobby_max_demo_players			M�ximo Jugadores Demo en una partida
dialog_lobby_demo_servers_permitted			Servidores Demo permitidos
dialog_lobby_number_players			*P Jugadores
# P = Number of Players
dialog_lobby_metaserver_time			HORA DEL METASERVIDOR
dialog_lobby_time_gmt			*H:*M*A (GMT)
# H = Hours, M = Minutes, A = am/pm
dialog_lobby_test_hours_start_at			TUS HORAS DE PRUEBA COMIENZAN A LAS
dialog_lobby_scheduled_test_hour			HORA DE PRUEBA PROGRAMADA
dialog_lobby_occurring_now			ACTUALMENTE EN PROGRESO
dialog_lobby_next_test_hour_begins			LA PR�XIMA HORA DE PRUEBA COMIENZA EN
dialog_lobby_minutes			*M MINUTOS
# M = Minutes
dialog_lobby_hours_minutes			*H HORAS *M MINUTOS
# H = Hours, M = Minutes
dialog_lobby_authentication			AUTENTICACI�N : *A
# A = Authentication Status
dialog_lobby_client_ident			IDENTIDAD DEL CLIENTE : *I:*P
# I = Ip Address, P = port
dialog_lobby_client_ident_unknown			IDENTIDAD DEL CLIENTE : DESCONOCIDA
dialog_lobby_server_ident			IDENTIDAD DEL SERVIDOR : *I:*P
# I = Ip Address, P = port
dialog_lobby_server_ident_unknown			IDENTIDAD DEL SERVIDOR : DESCONOCIDA

dialog_alliance_0			Rojo
dialog_alliance_1			Verde
dialog_alliance_2			Azul
dialog_alliance_3			Amarillo
dialog_alliance_4			Naranja
dialog_alliance_5			Turquesa

dialog_alliances			Alianzas
dialog_declarewar			�Romper el Alto el Fuego con *T?
dialog_ceasefire			�Alto el Fuego con *T?
dialog_ceasefire_title			Alto el Fuego
dialog_shareradar			Compartir Radar
dialog_alliance_leave			Abandonar la Alianza
dialog_alliance_kick			Expulsar a este jugador de la Alianza
dialog_alliance_join			Solicitar Unirse a esta Alianza
dialog_shareradarbegin			�Compartir Radar con *T?
dialog_shareradarend			�Dejar de compartir Radar con *T?
dialog_vote			Votar
dialog_abstain			Abstenerse
dialog_you_requested_alliance_1			Has solicitado
dialog_you_requested_alliance_2			unirte a la Alianza *A
# A = Alliance
dialog_requested_alliance_1			*T ha solicitado
# T = Team Name
dialog_requested_alliance_2			unirse a tu Alianza
dialog_you_requested_kick_1			Has solicitado
dialog_you_requested_kick_2			expulsar a *T
# T = Team Name
dialog_requested_kick_1			*T ha solicitado
# T = Team Name
dialog_requested_kick_2			expulsar a *T
# T = Team Name
dialog_vote_yes			S�
dialog_vote_no			NO
dialog_vote_abstain			ABSTENERSE
dialog_vote_seconds_to_vote			*S segundos para votar
# S = Seconds to vote
dialog_vote_number_votes_required			Se necesitan *V votos
# V = Number of Vote Required
dialog_vote_succeeded			�XITO
dialog_vote_failed			FRACASO
dialog_alliance_player			Jugador
dialog_alliance_receiving			Recibiendo
dialog_alliance_radar			Radar
dialog_alliance_sending			Enviando
dialog_alliance_cease			Alto el
dialog_alliance_fire			Fuego

dialog_placeunit			Desplegar Unidad
dialog_createfleet			Crear Flota

dialog_credits_1			*C Cr�ditos
dialog_credits_2			Restantes
dialog_fleets			Flotas
dialog_units			Unidades
dialog_place_fleet			Desplegar flota

dialog_paused			PAUSA
dialog_gameover			FIN DE PARTIDA
dialog_saved_screenshot			/me ha guardado una captura de la pantalla
# /me will be replaced by the Team Name
dialog_steam_authentication_failed			ERROR en la Autenticaci�n de Steam\n\n
dialog_steam_logged_in_elsewhere			Para solucionar este problema deber�s iniciar sesi�n en Steam de nuevo.\nSal de Defcon, pulsa en el Men� de Archivo dentro de Steam, y despu�s en 'Cambiar Usuario'.\nIntroduce tu nombre de usuario y la contrase�a para iniciar sesi�n de nuevo.\n\n
dialog_steam_error			Error en Steam
dialog_synchronisation_error			ERROR DE SINCRONIZACI�N
dialog_connection_problem_seconds			PROBLEMA CON LA CONEXI�N (*S SEGUNDOS)
# S = Seconds of Estimated Latency
dialog_high_latency			Latencia Alta
dialog_high_packet_loss			P�rdida de Paquetes Elevada
dialog_defcon_x_in_x_time			DEFCON *D DENTRO DE *M:*S
# D = Defcon level, M = Minutes, S = Seconds
dialog_time_remaining			FALTAN *M:*S
# M = Minutes, S = Seconds
dialog_autocam			C�MARA AUTOM�TICA
dialog_non_playable_demo			DEMO NO JUGABLE
dialog_tracking_synchronisation			MONITORIZANDO LA SINCRONIZACI�N

dialog_steam_authentication			Autenticaci�n en Steam
dialog_steam_play_defcon			Jugar a Defcon
dialog_steam_auth_status			ESTADO DE LA AUTENTICACI�N EN STEAM
dialog_steam_welcome_to_defcon			�Bienvenido a Defcon!
dialog_steam_may_play_demo			Puedes jugar a la DEMO de Defcon
dialog_steam_unable_to_auth			No hemos podido autenticarte.
dialog_steam_auth_progress			Autenticaci�n en Steam : *P
# P = Steam Authentication Progress

dialog_steam_error_edenysteamvalidationstalled			Error al verificar el Ticket del Identificador de Usuario de STEAM (el servidor no ha podido contactar con el servidor de autenticaci�n).\n
dialog_steam_error_edenynotloggedon			Inicio de Sesi�n en Steam No V�lido
dialog_steam_error_edenyloggedinelsewhere			Se ha iniciado sesi�n en esta cuenta desde otro lugar 
dialog_steam_error_edenynolicense			Esta cuenta Steam no es propietaria de este juego. \nPor favor, inicia sesi�n en la cuenta Steam correcta.
dialog_steam_error_edenyinvalidversion			Versi�n de cliente incompatible con el servidor. \nPor favor, sal y reinicia
dialog_steam_error_edenycheater			Esta cuenta est� prohibida
dialog_steam_error_edenyunknowntext			El servidor ha interrumpido la conexi�n con el cliente
dialog_steam_error_edenyincompatibleanticheat			Est�s ejecutando una herramienta externa que es incompatible con servidores seguros.
dialog_steam_error_edenymemorycorruption			Se ha detectado un fallo en la memoria.
dialog_steam_error_edenyincompatiblesoftware			Est�s ejecutando un software que no es compatible con servidores seguros.
dialog_steam_error_edenygeneric			El servidor ha interrumpido la conexi�n con el cliente
dialog_steam_error_unknown			Desconocido

dialog_steam_progress_not_started			No Iniciado
dialog_steam_progress_started			Iniciado
dialog_steam_progress_starting_steam			Iniciando Steam
dialog_steam_progress_starting_steam_api			Iniciando API de Steam
dialog_steam_progress_logging_on_to_steam			Iniciando Sesi�n en Steam
dialog_steam_progress_getting_steam_id			Obteniendo el Id. de Steam
dialog_steam_progress_getting_encryption_details			Obteniendo Detalles de Cifrado
dialog_steam_progress_getting_steam2_auth			Obteniendo Autenticaci�n Steam2
dialog_steam_progress_getting_steam3_auth			Obteniendo Autenticaci�n Steam3
dialog_steam_progress_requesting_authentication			Solicitando Autenticaci�n
dialog_steam_progress_success			�xito
dialog_steam_progress_success_demo			�xito (Demo)
dialog_steam_progress_failed			Error

dialog_warning			Atenci�n

dialog_enterpassword			Introduce Contrase�a del Servidor
dialog_setpassword			Establece la Contrase�a del Servidor (d�jalo en blanco para que no haya contrase�a)

dialog_resync_title			Resincronizar
dialog_resync_button			Resincronizar
dialog_resync_caption			Tu partida ha perdido la Sincronizaci�n con los dem�s jugadores.\n\nPulsa el bot�n Resincronizar para tratar de solucionar este error.\n\nEs posible que tarde varios minutos.

team_unassigned			Sin asignar
team_ai			Jugador No Humano
team_local			Jugador Local
team_remote			Jugador Remoto

team_name_not_set			[nombre-no-establecido]

dialog_metaserver_failedtitle			NO HA SIDO POSIBLE CONECTAR CON EL METASERVIDOR
dialog_metaserver_failedconnect			Defcon no ha podido conectar con el MetaServidor.\nEsto significa que no podr�s recuperar los listados del servidor,\nni a�adir a la lista tu propio servidor de juego.\n\nComprueba que la conexi�n a internet est� funcionando y prueba a deshabilitar\nlos Firewalls y el resto de Herramientas de red que puedas estar ejecutando.\n\nEs necesario que Defcon disponga de acceso a los siguientes puertos:\n5009 UDP (saliente)\n5009 UDP (entrante)\n\nPara recibir m�s ayuda consulta nuestra gu�a de resoluci�n de problemas:\nhttp://www.everybody-dies.com/support/

dialog_client_failedtitle			ERROR DE RED
dialog_client_failedconnect			Defcon no ha podido abrir un Oyente de Red para el Cliente.\nEsto significa que no podr�s participar en ninguna partida,\nni tampoco crearla.\n\nPrueba a deshabilitar\nlos Firewalls y el resto de Herramientas de red que puedas estar ejecutando.\n\nPara recibir m�s ayuda consulta nuestra gu�a de resoluci�n de problemas:\n

dialog_server_failedtitle			NO HA SIDO POSIBLE INICIAR EL SERVIDOR
dialog_server_failedconnect			Defcon no ha podido iniciar un Servidor.\nEsto se debe a que las Conexiones de Red requeridas no se encuentran disponibles.\n\nPrueba a deshabilitar\nlos Firewalls y las otras Herramientas de red que puedas estar ejecutando.\n\nPara recibir m�s ayuda consulta nuestra gu�a de resoluci�n de problemas:\n

dialog_ambxsupport			Soporte amBX
dialog_ambxsupport_tooltip			Activa esta opci�n s�lo si tienes instalado hardware AMBX.  Para recibir m�s informaci�n visita www.ambx.com.

dialog_screen_error_title			Error de Pantalla
dialog_screen_error_caption			No se ha podido establecer la configuraci�n de pantalla de\n*W x *H, color de *C, *S que has solicitado.\n\nSe ha restaurado la configuraci�n de seguridad\n*w x *h, color de *c, *s.
# W = Screen Width, H = Screen Height, C = Color Depth (ie: 24 bit), S = Windowed/Fullscreen
# The four other are the safe version of their capitalized counterparts (ie: w, h ,c ,s)

dialog_restart_required_title			Es Necesario Reiniciar
dialog_restart_required_caption			Por favor, reinicia Defcon para que la configuraci�n\nde la pantalla tenga efecto.

dialog_connection_status			Estado de la Conexi�n
dialog_abort_current_connection			Anular el intento de conexi�n actual
dialog_state_disconnected			DESCONECTADO
dialog_state_connecting			CONECTANDO...
dialog_state_connected			CONECTADO
dialog_state_attempts			INTENTOS : *A
# A = Number of Connection Attempts
dialog_state_receiving			RECIBIENDO...
dialog_state_received			RECIBIDO
dialog_state_synchronising			SINCRONIZANDO...
dialog_state_synchronised			SINCRONIZADO
dialog_state_time_remaining			TIEMPO RESTANTE : *M.*S
# M = Minutes, S = Seconds

dialog_toolbar_units			unidades
dialog_toolbar_allies			aliados
dialog_toolbar_comms			com.
dialog_toolbar_scores			puntuaciones
dialog_toolbar_radar			radar
dialog_toolbar_people			poblaci�n
dialog_toolbar_orders			�rdenes
dialog_toolbar_territory			territorio
dialog_toolbar_nukes			bombas
dialog_toolbar_white_board			pizarra
dialog_toolbar_info			informaci�n

dialog_mod			Mods
dialog_mod_commit_title			CARGANDO MODS...
dialog_mod_commit_mod_path			Estableciendo la ruta del MOD...\n
dialog_mod_commit_activating_mod			Activando el mod '*N *V'\n
# N = MOD name, V = version
dialog_mod_commit_all_mods_off			Todos los MODs han sido desactivados
dialog_mod_error			ERROR
dialog_mod_no_arrangement_change			No puedes cambiar el orden de mods CR�TICOS\nmientras haya una partida en progreso.
dialog_mod_not_installed			(NO INSTALADO)
dialog_mod_active			activo
dialog_mod_clear_all			Borrar Todos
dialog_mod_deactivate			Desactivar
dialog_mod_activate			Activar
dialog_mod_click_download_mods			Pulsa aqu� para descargar m�s mods
dialog_mod_click_here			Pulsa aqu�
dialog_mod_move_up			Subir
dialog_mod_move_down			Bajar
dialog_mod_no_mod_selected			Ning�n mod seleccionado
dialog_mod_screenshot_not_found			Captura de pantalla no encontrada
dialog_mod_install_dir			Directorio de Instalaci�n
dialog_mod_author			Autor
dialog_mod_website			Sitio web
dialog_mod_required_all_players			Requerido por TODOS LOS JUGADORES
dialog_error_mod_path_title			Error al establecer la ruta del MOD
dialog_error_mod_path_caption			Error al establecer la ruta del MOD.\nEste servidor est� ejecutando un MOD que no tienes instalado.\n\nEl servidor est� ejecutando los siguientes mods:\n

dialog_demo			Demo
dialog_welcome_to_demo			BIENVENIDO A LA DEMO
dialog_play_demo			Jugar a la Demo
dialog_buy_now			Comprar Ahora
dialog_buy_now_caps			COMPRAR AHORA
dialog_exit_game_time			Salir del Juego (*T)
# T = Remaining time
dialog_exit_game			Salir del Juego
dialog_welcome_to_demo_defcon			Bienvenido a la DEMO de Defcon.
dialog_demo_player_limited			Puedes crear una partida multijugador\npero tendr�s un l�mite m�ximo de *P jugadores.\nEn el JUEGO COMPLETO puedes contar con hasta 6 jugadores.\n\n
# P = Number of Players
dialog_demo_player_join_limited			Puedes unirte a una partida multijugador que ya exista\npero s�lo en el caso de que haya menos de *P jugadores DEMO\nconectados.
# P = Number of Players
dialog_demo_spectate_any_game			\n\nPuedes ser espectador de cualquier partida.

dialog_server_browser			Explorador de Servidores
dialog_server_password			Contrase�a del Servidor
dialog_enter_ip_manually			Introducir IP Manualmente
dialog_filters			Filtros
dialog_server_details			Servidor *I: *P
# I = Ip Address, P = port
dialog_server_version_mismatch			No puedes unirte a este servidor de juego.\n\nEst�n utilizando una versi�n diferente a la tuya\ny las versiones no son compatibles.\n\n\nTu versi�n : *V\nSu versi�n : *T
# V = Your version, T = Their version
dialog_cannot_join_server			No Es Posible Unirse al Servidor
dialog_no_join_mods_not_installed			No puedes unirte a este servidor de juego.\n\nEst�n ejecutando MODS que t� no tienes instalados.\nSe necesitan los siguientes MODS:\n\n*R\n\nPuedes descargar MODs desde\n
# R = Reason
dialog_no_join_own_game			No puedes unirte a este servidor de juego.\n\nEste es tu propio servidor de juego y ya\nest�s conectado a �l.
dialog_requesting			Solicitando...
dialog_refresh_number_server			Actualizar (*S)
# S = Number of Servers
dialog_server_demo_restricted			Este servidor est� PROHIBIDO A DEMOS.\n\nQuiere decir que ya hay conectados a esta partida demasiados jugadores que est�n utilizando la Demo, o que est� ejecut�ndose en un modo de juego avanzado.\n\nSi deseas participar en partidas de este tama�o tendr�s que comprar el juego completo.\n\nN�mero m�ximo de jugadores demo por partida: *N
# N = Max Demo Game Size
dialog_number_server_found			Se ha(n) encontrado *N servidor(es)
# N = Number Server Found
dialog_retrieving_server_list			Recuperando Lista de Servidores...
dialog_net_location_lan			*I:*P [LAN]
# I = Ip Address, P = port
dialog_game_ended			(finalizada)
dialog_demo_game_mode			demo
dialog_mod_base_number_more			*M (*N m�s)
# M = Mod base, N = Number of Remaining Mods
dialog_server_name_incompatible			*S [INCOMPATIBLE]
# S = Server Name
dialog_server_name_mods_required			*S [MODS REQUERIDOS]
# S = Server Name
dialog_server_name_your_server			*S [TU SERVIDOR]
# S = Server Name
dialog_server_name_demo_restricted			*S [PROHIBIDO A DEMOS]
# S = Server Name
dialog_server_name_full			*S [COMPLETO]
# S = Server Name
dialog_server_name_not_responding			*S [NO RESPONDE]
# S = Server Name
dialog_connected_recently			(Conectado Recientemente)
dialog_server_browser_teams			Equipos
dialog_server_browser_specs			Especificaciones
dialog_server_browser_time			Tiempo
dialog_server_browser_mods			MODs
dialog_server_browser_game_mode			Modo de Juego
dialog_server_browser_server_name			Nombre del Servidor
dialog_server_browser_list			Lista de
dialog_filter_all_games			Todas las Partidas
dialog_filter_games_in_lobby			Partidas en Inicio
dialog_filter_games_in_progress			Partidas en Progreso
dialog_filter_recent_servers			Servidores Recientes
dialog_filter_lan_games			Partidas en LAN
dialog_filter_enter_ip_manually			Introducir IP Manualmente
dialog_join			Unirse
dialog_enter_ip			[introducir ip]
dialog_connect			Conectar
dialog_server_ip			IP del Servidor
dialog_server_port			Puerto del Servidor
dialog_single_player_games			Partidas de Un Jugador
dialog_demo_games			Partidas Demo
dialog_default_named_servers			Servidores con Nombres Por Defecto
dialog_show_single_player_games			Partidas de Un Jugador
dialog_show_demo_games			Partidas Demo
dialog_show_default_named_games			Partidas con nombres por defecto
dialog_server_name			Nombre
dialog_server_identity_address			Identidad
dialog_server_game_name			Partida
dialog_server_game_mode			Modo Juego
dialog_server_score_mode			Modo Puntuaci�n
dialog_server_started			[iniciada]
dialog_server_ended			[finalizada]
dialog_server_not_yet_started			[a�n no iniciada]
dialog_spectators			Espectadores
dialog_server_game_time			Tiempo de Juego
dialog_server_scores			Puntuaciones
dialog_retrieving_scores			Recuperando puntuaciones...

dialog_disconnected			Desconectado
dialog_disconnect_client_leave			Has abandonado la partida
dialog_disconnect_server_shutdown			El servidor se ha cerrado
dialog_disconnect_invalid_key			Est�s utilizando una clave no v�lida
dialog_disconnect_duplicate_key			Est�s utilizando una clave duplicada
dialog_disconnect_key_auth_failed			Error en la autenticaci�n de la clave
dialog_disconnect_bad_password			Se Ha Introducido una Contrase�a No V�lida
dialog_disconnect_game_full			La partida ya est� llena
dialog_disconnect_kicked_from_game			Expulsado por el Servidor
dialog_disconnect_demo_full			Ya Hay Demasiados Jugadores Demo
dialog_disconnect_unknown			Desconocido

dialog_chat_public			P�blico
dialog_chat_alliance			Alianza
dialog_chat_spectators			Espectadores
dialog_chat_channel_public			[p�blico]
dialog_chat_channel_alliance			[alianza]
dialog_chat_channel_spectators			[espectadores]
