Team 3 : client 12 (somanynames), keyID = 13239035
Team 0 : client 7 (LadenBinKezza), keyID = 13241028
Team 3 : client 10 (LadenBinKezza), keyID = 13241028
Team 2 : client 9 (Fight in WarRoom), keyID = 2968018
Team 1 : client 8 (Haakon), keyID = 13239068
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 10 (Haakon), keyID = 13239068
Team 2 : client 9 (LadenBinKezza), keyID = 13241028
Team 1 : client 8 (zad), keyID = 13240706
Team 0 : client 7 (Fight in WarRoom), keyID = 2968018
Team 3 : client 10 (DaFoe), keyID = 13241373
Team 2 : client 9 (hoov), keyID = 13237393
Team 1 : client 8 (icq), keyID = 5861869
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 10 (zad), keyID = 13240706
Team 2 : client 9 (ALABAMA HAMMER), keyID = 13241393
Team 1 : client 8 (Dyatlov), keyID = 13241563
Team 0 : client 7 (Mojo), keyID = 13241561
Team 2 : client 12 (zad), keyID = 13240706
Team 3 : client 11 (Laika), keyID = 13241626
Team 1 : client 8 (hoov), keyID = 13237393
Team 0 : client 7 (LadenBinKezza), keyID = 13241028
Team 3 : client 14 (ALABAMA HAMMER), keyID = 13241847
Team 1 : client 13 (Vader), keyID = 13241641
Team 2 : client 12 (Gyarados), keyID = 13241857
Team 0 : client 7 (Mojo), keyID = 13241863
Team 1 : client 11 (ALABAMA HAMMER), keyID = 13241847
Team 3 : client 10 (zad), keyID = 13240706
Team 2 : client 9 (Vader), keyID = 13241932
Team 0 : client 7 (Gyarados), keyID = 13241857
Team 3 : client 10 (Haakon), keyID = 13239068
Team 2 : client 9 (Vader), keyID = 13237811
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13242136
Team 0 : client 7 (Gyarados), keyID = 13242144
Team 3 : client 17 (beni), keyID = 13241037
Team 2 : client 15 (Vader), keyID = 13242419
Team 1 : client 13 (Mojo), keyID = 13242443
Team 0 : client 8 (Haakon), keyID = 13239068
Team 2 : client 14 (Vader), keyID = 13242419
Team 3 : client 13 (Oblivion), keyID = 13242555
Team 1 : client 11 (sacoYa  \(SAC\)), keyID = 13242504
Team 0 : client 9 (hoov), keyID = 13237393
Team 3 : client 10 (sacoYa  \(SAC\)), keyID = 13242504
Team 2 : client 9 (Vader), keyID = 13242419
Team 1 : client 8 (zad), keyID = 13240706
Team 0 : client 7 (hoov), keyID = 13237393
Team 2 : client 15 (Vulture), keyID = 13242715
Team 0 : client 14 (Mojo), keyID = 13242668
Team 3 : client 12 (Haakon), keyID = 13239068
Team 1 : client 9 (zad), keyID = 13240706
Team 3 : client 10 (somanynames), keyID = 13242927
Team 2 : client 9 (Haakon), keyID = 13239068
Team 1 : client 8 (beni), keyID = 13241037
Team 0 : client 7 (Mojo), keyID = 13242961
Team 3 : client 13 (beni), keyID = 13241037
Team 2 : client 9 (zad), keyID = 13240706
Team 1 : client 8 (Haakon), keyID = 13239068
Team 0 : client 7 (Mojo), keyID = 13243190
Team 3 : client 10 (Fight in WarRoom), keyID = 2968018
Team 2 : client 9 (Haakon), keyID = 13239068
Team 1 : client 8 (beni), keyID = 13241037
Team 0 : client 7 (Mojo), keyID = 13243190
Team 3 : client 10 (hoov), keyID = 13237393
Team 2 : client 9 (somanynames), keyID = 13243519
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13243688
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 11 (Corporation), keyID = 13243730
Team 2 : client 10 (Gyarados), keyID = 13243570
Team 1 : client 9 (Fight in WarRoom), keyID = 2968018
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 12 (Mojo), keyID = 13243994
Team 2 : client 10 (Haakon), keyID = 13239068
Team 0 : client 9 (Vader), keyID = 13243932
Team 1 : client 8 (LadenBinKezza), keyID = 13241950
Team 3 : client 13 (Corporation), keyID = 13244092
Team 1 : client 12 (Fight in WarRoom), keyID = 2968018
Team 2 : client 10 (ALABAMA HAMMER), keyID = 13243970
Team 0 : client 7 (Vader), keyID = 13243932
Team 2 : client 11 (Gyarados), keyID = 13243899
Team 1 : client 10 (Corporation), keyID = 13244092
Team 3 : client 9 (hoov), keyID = 13237393
Team 0 : client 7 (zad), keyID = 13243764
Team 3 : client 12 (Vader), keyID = 13244222
Team 2 : client 11 (LadenBinKezza), keyID = 13241950
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13244255
Team 0 : client 7 (Mojo), keyID = 13244347
Team 1 : client 15 (Vulture), keyID = 13244553
Team 3 : client 14 (beni), keyID = 13241037
Team 2 : client 13 (Haakon), keyID = 13239068
Team 0 : client 12 (Mojo), keyID = 13244647
Team 3 : client 11 (ALABAMA HAMMER), keyID = 13244654
Team 2 : client 9 (Dante), keyID = 13244801
Team 1 : client 8 (Vader), keyID = 13244787
Team 0 : client 7 (hoov), keyID = 13237393
Team 3 : client 11 (Dante), keyID = 13244801
Team 2 : client 10 (Gyarados), keyID = 13244757
Team 1 : client 9 (ALABAMA HAMMER), keyID = 13244654
Team 0 : client 7 (Vader), keyID = 13244787
Team 3 : client 10 (hoov), keyID = 13237393
Team 2 : client 9 (Gyarados), keyID = 13244757
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13244654
Team 0 : client 7 (Vader), keyID = 13244787
Team 3 : client 10 (hoov), keyID = 13237393
Team 2 : client 9 (Gyarados), keyID = 13244757
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13244654
Team 0 : client 7 (Vader), keyID = 13244787
Team 3 : client 17 (hoov), keyID = 13237393
Team 2 : client 15 (Fight in WarRoom), keyID = 2968018
Team 1 : client 14 (ALABAMA HAMMER), keyID = 13244654
Team 0 : client 13 (Vader), keyID = 13244787
Team 3 : client 11 (Fight in WarRoom), keyID = 2968018
Team 2 : client 9 (zad), keyID = 13243764
Team 1 : client 8 (Gyarados), keyID = 13245069
Team 0 : client 7 (Mojo), keyID = 13244967
Team 3 : client 10 (zad), keyID = 13243764
Team 2 : client 9 (Mojo), keyID = 13244967
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13245112
Team 0 : client 7 (Gyarados), keyID = 13245069
Team 2 : client 11 (Gyarados), keyID = 13245069
Team 3 : client 10 (zad), keyID = 13243764
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13245112
Team 0 : client 7 (Mojo), keyID = 13244967
Team 3 : client 12 (ALABAMA HAMMER), keyID = 13245112
Team 2 : client 10 (Mojo), keyID = 13244967
Team 1 : client 9 (Gyarados), keyID = 13245069
Team 0 : client 8 (Vader), keyID = 13245147
Team 1 : client 17 (Vulture), keyID = 13245497
Team 3 : client 16 (zad), keyID = 13243764
Team 0 : client 15 (Mojo), keyID = 13245382
Team 2 : client 12 (ALABAMA HAMMER), keyID = 13245384
Team 3 : client 15 (Gyarados), keyID = 13245775
Team 2 : client 12 (Haakon), keyID = 13239068
Team 0 : client 10 (Mojo), keyID = 13245723
Team 1 : client 8 (RegimeFidel), keyID = 13245824
Team 0 : client 15 (Vader), keyID = 13245951
Team 3 : client 13 (somanynames), keyID = 13245811
Team 2 : client 10 (zad), keyID = 13243764
Team 1 : client 8 (Mojo), keyID = 13245723
Team 3 : client 12 (Ring of Powder), keyID = 13243001
Team 2 : client 11 (zad), keyID = 13243764
Team 1 : client 8 (Vader), keyID = 13245951
Team 0 : client 7 (Mojo), keyID = 13245723
Team 3 : client 13 (beni), keyID = 13243001
Team 2 : client 11 (zad), keyID = 13243764
Team 1 : client 8 (Mojo), keyID = 13245723
Team 0 : client 7 (Vader), keyID = 13245951
Team 3 : client 13 (somanynames), keyID = 13245811
Team 2 : client 12 (Vader), keyID = 13245951
Team 1 : client 9 (Corporation), keyID = 13245964
Team 0 : client 7 (zad), keyID = 13243764
Team 3 : client 10 (Brosef Stalin), keyID = 13246157
Team 2 : client 9 (Baton), keyID = 434685
Team 1 : client 8 (zad), keyID = 13243764
Team 0 : client 7 (Mojo), keyID = 13246183
Team 1 : client 13 (Fight in WarRoom), keyID = 2968018
Team 0 : client 12 (zad), keyID = 13243764
Team 3 : client 11 (Vader), keyID = 13246755
Team 2 : client 10 (Vulture), keyID = 13246829
Team 3 : client 10 (Haakon), keyID = 13239068
Team 2 : client 9 (Vader), keyID = 13246755
Team 1 : client 8 (zad), keyID = 13243764
Team 0 : client 7 (Mojo), keyID = 13246910
Team 3 : client 13 (Vader), keyID = 13246755
Team 2 : client 12 (beni), keyID = 13241037
Team 1 : client 8 (zad), keyID = 13243764
Team 0 : client 7 (Mojo), keyID = 13246910
